name,owner,url,version,creation date,stars,watches,forks,contributors,languages,open issues,closed issues,commits,defect_proneness,last year commit #,description,topics,releases_count,Project Name,Useful Lines of Code (ULOC),Software Lines of Code (SLOC),Duplicate Useful Lines of Code,Classes,Files,Architecture Type,Core,Core Size,Central Size,Propagation Cost,Overly Complex Files,Useful Comment Density
express,expressjs,https://github.com/expressjs/express,2019-08-19T10:57:47Z,2009-06-26T18:56:01Z,45213,1824,7580,136,JavaScript,115,3010,5502,15.576154125772446,61,"Fast, unopinionated, minimalist web framework for node.","['javascript', 'nodejs', 'express', 'server']",279,expressjs/express,9490,12083,326,9,157,Hierarchical,False,0,0.0,0.637,0.0,14.8
Chart.js,chartjs,https://github.com/chartjs/Chart.js,2019-08-22T17:58:37Z,2013-03-17T23:56:36Z,44946,1461,9841,174,JavaScript,475,4232,2709,38.021410114433365,209,Simple HTML5 Charts using the <canvas> tag,"['javascript', 'chart', 'html5', 'canvas', 'graph', 'html5-charts']",43,chartjs/Chart.js,32792,38937,10865,3,279,Hierarchical,False,0,23.7,0.444,0.0,8.3
html5-boilerplate,h5bp,https://github.com/h5bp/html5-boilerplate,2019-08-16T01:55:08Z,2010-01-24T18:03:24Z,43245,2649,10318,133,JavaScript,2,1144,1699,29.13478516774573,57,"A professional front-end template for building fast, robust, and adaptable web apps or sites.","['html5-boilerplate', 'html5', 'robust', 'javascript', 'css', 'best-practices', 'html']",36,h5bp/html5-boilerplate,232,361,32,5,18,Hierarchical,False,0,50.0,7.716,0.0,78.4
30-seconds-of-code,30-seconds,https://github.com/30-seconds/30-seconds-of-code,2019-08-26T18:13:42Z,2017-11-29T17:35:03Z,48074,1676,5472,118,JavaScript,10,192,4363,11.230804492321797,738,A curated collection of useful JavaScript snippets that you can understand in 30 seconds or less.,"['awesome-list', 'javascript', 'snippets', 'snippets-collection', 'learning-resources', 'learn-to-code', 'programming', 'education', 'es6-javascript', 'nodejs']",6,30-seconds/30-seconds-of-code,12764,15775,5634,2,413,Hierarchical,False,0,4.4,0.252,0.0,1.1
meteor,meteor,https://github.com/meteor/meteor,2019-08-18T14:59:53Z,2012-01-19T01:58:17Z,41285,1813,5040,198,JavaScript,325,7768,21800,23.756880733944953,325,"Meteor, the JavaScript App Platform","['javascript', 'meteor', 'mongodb', 'build-system', 'npm', 'framework', 'zero-configuration', 'reactive-programming', 'nodejs']",1221,meteor/meteor,153954,185024,25682,264,1295,Hierarchical,False,0.4,23.0,0.157,0.1,23.9
moment,moment,https://github.com/moment/moment,2019-08-22T18:53:40Z,2011-03-01T02:46:06Z,42141,963,6329,254,JavaScript,261,3178,3720,30.188172043010752,54,"Parse, validate, manipulate, and display dates in javascript.",[],75,moment/moment,136785,156870,77559,8,584,Hierarchical,False,3.3,53.4,10.973,0.2,3.7
resume.github.com,resume,https://github.com/resume/resume.github.com,2018-12-29T23:17:05Z,2011-02-06T13:39:55Z,41775,333,1100,51,JavaScript,29,54,263,20.53231939163498,0,Resumes generated using the GitHub informations,[],0,resume/resume.github.com,318,497,0,4,15,Hierarchical,False,0,26.7,8.000,0.0,21.1
json-server,typicode,https://github.com/typicode/json-server,2019-08-26T18:11:16Z,2013-11-27T13:21:13Z,42290,957,3778,36,JavaScript,421,378,741,15.519568151147098,59,Get a full fake REST API with zero coding in less than 30 seconds (seriously),[],119,typicode/json-server,2065,2479,116,,39,Hierarchical,False,0,0.0,2.564,0.0,4.5
lodash,lodash,https://github.com/lodash/lodash,2019-08-26T22:48:41Z,2012-04-07T04:11:46Z,41068,849,4284,113,JavaScript,6,3448,7950,15.182389937106919,68,"A modern JavaScript utility library delivering modularity, performance, & extras.","['lodash', 'utilities', 'javascript', 'modules']",415,lodash/lodash,18547,22857,308,60,702,Hierarchical,False,0.4,58.3,1.142,0.0,25.2
markdown-here,adam-p,https://github.com/adam-p/markdown-here,2019-05-11T14:08:34Z,2012-05-13T03:27:22Z,40170,992,6955,12,JavaScript,237,285,807,31.350681536555143,8,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",[],49,adam-p/markdown-here,13830,18074,2217,43,94,Hierarchical,False,2.1,30.9,1.879,0.0,31.1
